EDAD,Básico,Pér. Org.,Muerte Acc,Muerte Acc Col,Invalidez,Otros,Certificados,Reaseguro
47, 59 , -   , -   , -   , -   , -   ,1,Automático
28, 59 , -   , -   , -   , -   , -   ,1,Automático
25, 60 , -   , -   , -   , -   , -   ,1,Automático
36, 61 , -   , -   , -   , -   , -   ,1,Automático
39, 64 , -   , -   , -   , -   , -   ,1,Automático
51, 64 , -   , -   , -   , -   , -   ,2,Automático
37, 65 , -   , -   , -   , -   , -   ,2,Automático
53, 65 , -   , -   , -   , -   , -   ,2,Automático
72, 66 , -   , -   , -   , -   , -   ,1,Automático
31, 66 , -   , -   , -   , -   , -   ,1,Automático
37, 70 , -   , -   , -   , -   , -   ,1,Automático
51, 70 , -   , -   , -   , -   , -   ,1,Automático
61, 71 , -   , -   , -   , -   , -   ,1,Automático
52, 73 , -   , -   , -   , -   , -   ,1,Automático
54, 75 , -   , -   , -   , -   , -   ,1,Automático
27, 76 , -   , -   , -   , -   , -   ,1,Automático
59, 80 , -   , -   , -   , -   , -   ,1,Automático
31, 82 , -   , -   , -   , -   , -   ,1,Automático
48, 82 , -   , -   , -   , -   , -   ,1,Automático
51, 83 , -   , -   , -   , -   , -   ,1,Automático
58, 85 , -   , -   , -   , -   , -   ,1,Automático
30, 86 , -   , -   , -   , -   , -   ,1,Automático
29, 88 , -   , -   , -   , -   , -   ,1,Automático
67, 88 , -   , -   , -   , -   , -   ,1,Automático
36, 89 , -   , -   , -   , -   , -   ,1,Automático
54, 89 , -   , -   , -   , -   , -   ,1,Automático
60, 90 , -   , -   , -   , -   , -   ,1,Automático
48, 92 , -   , -   , -   , -   , -   ,1,Automático
37, 95 , -   , -   , -   , -   , -   ,1,Automático
54, 95 , -   , -   , -   , -   , -   ,1,Facultativo
60, 96 , -   , -   , -   , -   , -   ,1,Automático
47, 99 , -   , -   , -   , -   , -   ,1,Automático
38, 99 , -   , -   , -   , -   , -   ,1,Automático
50, 101 , -   , -   , -   , -   , -   ,1,Automático
50, 104 , -   , -   , -   , -   , -   ,1,Automático
57, 104 , -   , -   , -   , -   , -   ,1,Automático
57, 105 , -   , -   , -   , -   , -   ,1,Automático
70, 106 , -   , -   , -   , -   , -   ,2,Automático
29, 108 , -   , -   , -   , -   , -   ,1,Automático
78, 109 , -   , -   , -   , -   , -   ,1,Automático
59, 109 , -   , -   , -   , -   , -   ,1,Automático
37, 110 , -   , -   , -   , -   , -   ,1,Automático
36, 111 , -   , -   , -   , -   , -   ,1,Automático
49, 115 , -   , -   , -   , -   , -   ,1,Facultativo
80, 118 , -   , -   , -   , -   , -   ,1,Automático
60, 119 , -   , -   , -   , -   , -   ,1,Automático
50, 122 , -   , -   , -   , -   , -   ,1,Automático
66, 122 , -   , -   , -   , -   , -   , 1 ,Automático
51, 123 , -   , -   , -   , -   , -   ,1,Automático
42, 125 , -   , -   , -   , -   , -   ,1,Automático
47, 125 , -   , -   , -   , -   , -   ,1,Automático
39, 127 , -   , -   , -   , -   , -   ,1,Automático
57, 128 , -   , -   , -   , -   , -   ,1,Automático
28, 128 , -   , -   , -   , -   , -   ,1,Automático
36, 134 , -   , -   , -   , -   , -   ,1,Automático
40, 137 , -   , -   , -   , -   , -   ,1,Automático
75, 143 , -   , -   , -   , -   , -   ,1,Automático
31, 146 , -   , -   , -   , -   , -   ,1,Automático
52, 148 , -   , -   , -   , -   , -   ,1,Automático
50, 152 , -   , -   , -   , -   , -   ,1,Automático
52, 152 , -   , -   , -   , -   , -   ,1,Facultativo
56, 152 , -   , -   , -   , -   , -   ,1,Automático
25, 153 , -   , -   , -   , -   , -   ,1,Automático
64, 153 , -   , -   , -   , -   , -   , 1 ,Automático
68, 154 , -   , -   , -   , -   , -   ,1,Automático
56, 157 , -   , -   , -   , -   , -   ,1,Automático
44, 158 , -   , -   , -   , -   , -   ,1,Automático
47, 163 , -   , -   , -   , -   , -   ,2,Automático
54, 167 , -   , -   , -   , 167 , -   ,1,Automático
49, 168 , -   , -   , -   , -   , -   ,1,Automático
30, 171 , -   , -   , -   , -   , -   ,1,Automático
34, 171 , -   , -   , -   , -   , -   ,1,Automático
24, 173 , -   , -   , -   , -   , -   ,1,Automático
49, 173 , -   , -   , -   , -   , -   ,1,Automático
70, 174 , -   , -   , -   , -   , -   ,1,Automático
25, 175 , -   , -   , -   , -   , -   ,21,Automático
62, 175 , -   , -   , -   , -   , -   , 4 ,Automático
72, 175 , -   , -   , -   , -   , -   ,2,Automático
50, 176 , -   , -   , -   , -   , -   ,1,Automático
28, 176 , -   , -   , -   , -   , -   ,1,Automático
59, 176 , -   , -   , -   , -   , -   ,1,Automático
67, 176 , -   , -   , -   , -   , -   ,1,Automático
69, 177 , -   , -   , -   , -   , -   ,2,Automático
86, 177 , -   , -   , -   , -   , -   ,1,Automático
36, 179 , -   , -   , -   , -   , -   ,4,Automático
45, 179 , -   , -   , -   , -   , -   ,1,Automático
43, 180 , -   , -   , -   , -   , -   ,1,Automático
50, 180 , -   , -   , -   , -   , -   ,1,Automático
27, 181 , -   , -   , -   , -   , -   ,1,Automático
45, 183 , -   , -   , -   , -   , -   ,7,Automático
35, 184 , -   , -   , -   , -   , -   ,1,Automático
34, 185 , -   , -   , -   , -   , -   ,1,Automático
30, 186 , -   , -   , -   , -   , -   ,3,Automático
31, 186 , -   , -   , -   , -   , -   ,2,Automático
23, 188 , -   , -   , -   , -   , -   ,1,Automático
38, 188 , -   , -   , -   , -   , -   ,1,Automático
53, 190 , -   , -   , -   , -   , -   ,1,Automático
59, 190 , -   , -   , -   , -   , -   ,1,Automático
32, 191 , -   , -   , -   , -   , -   ,3,Automático
34, 192 , -   , -   , -   , -   , -   ,1,Automático
82, 193 , -   , -   , -   , -   , -   ,1,Automático
31, 194 , -   , -   , -   , -   , -   ,1,Automático
71, 195 , -   , -   , -   , -   , -   ,1,Automático
34, 195 , -   , -   , -   , -   , -   ,1,Automático
44, 196 , -   , -   , -   , -   , -   ,1,Automático
29, 197 , -   , -   , -   , -   , -   ,1,Automático
31, 198 , -   , -   , -   , -   , -   ,1,Automático
56, 199 , -   , -   , -   , -   , -   ,2,Automático
43, 200 , -   , -   , -   , -   , -   ,1,Automático
81, 200 , -   , -   , -   , -   , -   ,1,Automático
28, 201 , -   , -   , -   , -   , -   ,1,Automático
25, 205 , -   , -   , -   , -   , -   ,1,Automático
38, 207 , -   , -   , -   , -   , -   ,1,Automático
55, 208 , -   , -   , -   , -   , -   ,1,Automático
60, 208 , -   , -   , -   , -   , -   ,1,Automático
41, 212 , -   , -   , -   , -   , -   ,1,Automático
63, 213 , -   , -   , -   , -   , -   , 1 ,Automático
44, 213 , -   , -   , -   , -   , -   ,1,Automático
56, 214 , -   , -   , -   , -   , -   ,1,Automático
35, 215 , -   , -   , -   , -   , -   ,1,Automático
19, 215 , -   , -   , -   , -   , -   ,1,Automático
40, 215 , -   , -   , -   , -   , -   ,1,Automático
37, 216 , -   , -   , -   , -   , -   ,1,Automático
46, 216 , -   , -   , -   , -   , -   ,1,Automático
66, 216 , -   , -   , -   , -   , -   , 1 ,Automático
63, 221 , -   , -   , -   , -   , -   , 1 ,Automático
52, 222 , -   , -   , -   , -   , -   ,1,Automático
38, 224 , -   , -   , -   , -   , -   ,1,Facultativo
49, 225 , -   , -   , -   , -   , -   ,4,Automático
45, 225 , -   , -   , -   , -   , -   ,1,Facultativo
49, 227 , -   , -   , -   , -   , -   ,1,Automático
66, 228 , -   , -   , -   , -   , -   , 1 ,Automático
23, 230 , -   , -   , -   , -   , -   ,1,Automático
